word,sentiment,lexicon,score
disgorge,negative,loughran,NA
disgorged,negative,loughran,NA
disgorgement,negative,loughran,NA
disgorgements,negative,loughran,NA
disgorges,negative,loughran,NA
disgorging,negative,loughran,NA
disgrace,negative,loughran,NA
disgraceful,negative,loughran,NA
disgracefully,negative,loughran,NA
dishonest,negative,loughran,NA
dishonestly,negative,loughran,NA
dishonesty,negative,loughran,NA
dishonor,negative,loughran,NA
dishonorable,negative,loughran,NA
dishonorably,negative,loughran,NA
dishonored,negative,loughran,NA
dishonoring,negative,loughran,NA
dishonors,negative,loughran,NA
disincentives,negative,loughran,NA
disinterested,negative,loughran,NA
disinterestedly,negative,loughran,NA
disinterestedness,negative,loughran,NA
disloyal,negative,loughran,NA
disloyally,negative,loughran,NA
disloyalty,negative,loughran,NA
dismal,negative,loughran,NA
dismally,negative,loughran,NA
dismiss,negative,loughran,NA
dismissal,negative,loughran,NA
dismissals,negative,loughran,NA
dismissed,negative,loughran,NA
dismisses,negative,loughran,NA
dismissing,negative,loughran,NA
disorderly,negative,loughran,NA
disparage,negative,loughran,NA
disparaged,negative,loughran,NA
disparagement,negative,loughran,NA
disparagements,negative,loughran,NA
disparages,negative,loughran,NA
disparaging,negative,loughran,NA
disparagingly,negative,loughran,NA
disparities,negative,loughran,NA
disparity,negative,loughran,NA
displace,negative,loughran,NA
displaced,negative,loughran,NA
displacement,negative,loughran,NA
displacements,negative,loughran,NA
displaces,negative,loughran,NA
displacing,negative,loughran,NA
dispose,negative,loughran,NA
dispossess,negative,loughran,NA
dispossessed,negative,loughran,NA
dispossesses,negative,loughran,NA
dispossessing,negative,loughran,NA
disproportion,negative,loughran,NA
disproportional,negative,loughran,NA
disproportionate,negative,loughran,NA
disproportionately,negative,loughran,NA
dispute,negative,loughran,NA
disputed,negative,loughran,NA
disputes,negative,loughran,NA
disputing,negative,loughran,NA
disqualification,negative,loughran,NA
disqualifications,negative,loughran,NA
disqualified,negative,loughran,NA
disqualifies,negative,loughran,NA
disqualify,negative,loughran,NA
disqualifying,negative,loughran,NA
disregard,negative,loughran,NA
disregarded,negative,loughran,NA
disregarding,negative,loughran,NA
disregards,negative,loughran,NA
disreputable,negative,loughran,NA
disrepute,negative,loughran,NA
disrupt,negative,loughran,NA
disrupted,negative,loughran,NA
disrupting,negative,loughran,NA
disruption,negative,loughran,NA
disruptions,negative,loughran,NA
disruptive,negative,loughran,NA
disrupts,negative,loughran,NA
dissatisfaction,negative,loughran,NA
dissatisfied,negative,loughran,NA
dissent,negative,loughran,NA
dissented,negative,loughran,NA
dissenter,negative,loughran,NA
dissenters,negative,loughran,NA
dissenting,negative,loughran,NA
dissents,negative,loughran,NA
dissident,negative,loughran,NA
dissidents,negative,loughran,NA
dissolution,negative,loughran,NA
dissolutions,negative,loughran,NA
distort,negative,loughran,NA
distorted,negative,loughran,NA
distorting,negative,loughran,NA
distortion,negative,loughran,NA
distortions,negative,loughran,NA
distorts,negative,loughran,NA
distract,negative,loughran,NA
distracted,negative,loughran,NA
distracting,negative,loughran,NA
distraction,negative,loughran,NA
distractions,negative,loughran,NA
distracts,negative,loughran,NA
distress,negative,loughran,NA
distressed,negative,loughran,NA
disturb,negative,loughran,NA
disturbance,negative,loughran,NA
disturbances,negative,loughran,NA
disturbed,negative,loughran,NA
disturbing,negative,loughran,NA
disturbs,negative,loughran,NA
diversion,negative,loughran,NA
divert,negative,loughran,NA
diverted,negative,loughran,NA
diverting,negative,loughran,NA
diverts,negative,loughran,NA
divest,negative,loughran,NA
divested,negative,loughran,NA
divesting,negative,loughran,NA
divestiture,negative,loughran,NA
divestitures,negative,loughran,NA
divestment,negative,loughran,NA
divestments,negative,loughran,NA
divests,negative,loughran,NA
divorce,negative,loughran,NA
divorced,negative,loughran,NA
divulge,negative,loughran,NA
divulged,negative,loughran,NA
divulges,negative,loughran,NA
divulging,negative,loughran,NA
doubt,negative,loughran,NA
doubted,negative,loughran,NA
doubtful,negative,loughran,NA
doubts,negative,loughran,NA
downgrade,negative,loughran,NA
downgraded,negative,loughran,NA
downgrades,negative,loughran,NA
downgrading,negative,loughran,NA
downsize,negative,loughran,NA
downsized,negative,loughran,NA
downsizes,negative,loughran,NA
downsizing,negative,loughran,NA
downsizings,negative,loughran,NA
downtime,negative,loughran,NA
downtimes,negative,loughran,NA
downturn,negative,loughran,NA
downturns,negative,loughran,NA
downward,negative,loughran,NA
downwards,negative,loughran,NA
drag,negative,loughran,NA
drastic,negative,loughran,NA
drastically,negative,loughran,NA
drawback,negative,loughran,NA
drawbacks,negative,loughran,NA
dropped,negative,loughran,NA
drought,negative,loughran,NA
droughts,negative,loughran,NA
duress,negative,loughran,NA
dysfunction,negative,loughran,NA
dysfunctional,negative,loughran,NA
dysfunctions,negative,loughran,NA
easing,negative,loughran,NA
egregious,negative,loughran,NA
egregiously,negative,loughran,NA
embargo,negative,loughran,NA
embargoed,negative,loughran,NA
embargoes,negative,loughran,NA
embargoing,negative,loughran,NA
embarrass,negative,loughran,NA
embarrassed,negative,loughran,NA
embarrasses,negative,loughran,NA
embarrassing,negative,loughran,NA
embarrassment,negative,loughran,NA
embarrassments,negative,loughran,NA
embezzle,negative,loughran,NA
